iter,episodes,win_rate,loss_rate,draw_rate,avg_ticks,avg_reward,pi_loss,v_loss,entropy,kl
174,40,0.425,0.075,0.5,187.475,3.775422279124289,0.0006,0.6819,0.6376,0.00333
175,40,0.45,0.075,0.475,190.525,2.623162458229394,-0.0013,0.7680,0.6278,0.00355
176,40,0.4,0.125,0.475,187.975,2.2641905040251804,-0.0000,0.8368,0.6335,0.00330
177,40,0.325,0.1,0.575,192.45,1.8231722201999783,-0.0041,0.7445,0.6409,0.00206
178,40,0.4,0.15,0.45,189.325,1.198398821377609,-0.0030,0.7268,0.6608,0.00409
179,40,0.4,0.075,0.525,189.925,2.8813093374442587,-0.0012,0.7335,0.6423,0.00215
180,40,0.45,0.075,0.475,189.45,2.696295628110119,-0.0018,0.6784,0.6986,0.00477
181,40,0.425,0.1,0.475,189.325,2.959411369442343,-0.0043,0.7071,0.6783,0.00638
182,40,0.575,0.1,0.325,187.35,4.302400666613735,-0.0001,0.7325,0.6527,0.00268
183,40,0.425,0.075,0.5,188.125,3.2387190154424736,-0.0004,0.7121,0.6251,0.00307
184,40,0.375,0.075,0.55,187.425,1.6909950368887934,-0.0028,0.6587,0.6630,0.00475
185,40,0.575,0.075,0.35,183.05,3.8803305329258935,-0.0015,0.6958,0.6232,0.00292
186,40,0.45,0.1,0.45,187.375,3.4149031568594324,-0.0032,0.7645,0.6039,0.00327
187,40,0.575,0.15,0.275,184.375,4.792477098083778,-0.0003,0.7495,0.6088,0.00288
188,40,0.5,0.175,0.325,186.55,2.0800794224285477,-0.0012,0.7776,0.6427,0.00410
189,40,0.45,0.175,0.375,185.925,2.1511982087921324,0.0005,0.7856,0.6118,0.00461
190,40,0.475,0.05,0.475,189.575,3.4030422585278033,-0.0012,0.7805,0.6105,0.00275
191,40,0.45,0.1,0.45,182.55,2.889402387202878,-0.0002,0.8159,0.6024,0.00297
192,40,0.425,0.05,0.525,190.3,3.272749252055282,0.0005,0.8254,0.6435,0.00403
193,40,0.575,0.075,0.35,185.275,4.456732941794095,-0.0008,0.8052,0.6155,0.00351
194,40,0.375,0.225,0.4,184.35,1.84585328683916,-0.0010,0.8051,0.6006,0.00280
195,40,0.35,0.075,0.575,189.925,2.10061613649369,-0.0013,0.8014,0.6224,0.00466
196,40,0.475,0.15,0.375,186.575,2.6666588238549758,0.0010,0.7896,0.6267,0.00321
197,40,0.35,0.325,0.325,185.15,1.1620243580453669,-0.0005,0.8299,0.5875,0.00453
198,40,0.425,0.075,0.5,188.6,2.0428424015383597,-0.0013,0.8141,0.6205,0.00369
199,40,0.6,0.075,0.325,184.525,4.946364053075802,-0.0005,0.8063,0.6032,0.00333
200,40,0.6,0.075,0.325,183.675,5.58945210384007,0.0005,0.8201,0.5896,0.00323
